index,giphy_id,file,width,height,frames,duration_ms,gif_bytes,webp_bytes,sha256,source_url
1,IRFQYGCokErS0,giphy_01_IRFQYGCokErS0.webp,314,400,4,800,101494,31750,5744500268931bc39bd63e59528c6ff2142232e246a9764afea4435910141526,https://media.giphy.com/media/IRFQYGCokErS0/giphy.gif
2,3ohhwFhUCOXOJfuttC,giphy_02_3ohhwFhUCOXOJfuttC.webp,480,480,24,960,3635832,1476484,5f0c384f2d2a67c18d84db28e02a83c2e09a865ea078e6ab58ee47c0e61f36a5,https://media.giphy.com/media/3ohhwFhUCOXOJfuttC/giphy.gif
3,KG4PMQ0jyimywxNt8i,giphy_03_KG4PMQ0jyimywxNt8i.webp,498,498,16,800,41054,17634,a4ff8478183ee9bef58e06a38c4b0567e9c0354cb5f9475fb2590e2798ceca0a,https://media.giphy.com/media/KG4PMQ0jyimywxNt8i/giphy.gif
4,11ASZtb7vdJagM,giphy_04_11ASZtb7vdJagM.webp,400,400,161,16300,68553,89594,49f6acdfd5d6e3f388c84b32212ed3c0bf6bb66ce2a6785fa8708941e41204ac,https://media.giphy.com/media/11ASZtb7vdJagM/giphy.gif
5,xThuWu82QD3pj4wvEQ,giphy_05_xThuWu82QD3pj4wvEQ.webp,500,500,25,1000,377858,260844,d64b18c094a84afa3da9386e5d81ec0eb24f63ddb4c8a385a1a8cd269f3a952d,https://media.giphy.com/media/xThuWu82QD3pj4wvEQ/giphy.gif
6,OwlW7RLoPdPCB2MNQ8,giphy_06_OwlW7RLoPdPCB2MNQ8.webp,480,480,95,6470,340516,262412,1547d26660cf2f6edff69d42684d6c9469be0826d8b997ad612da84a4bf9f6b7,https://media.giphy.com/media/OwlW7RLoPdPCB2MNQ8/giphy.gif
7,51LroAULHlkqY,giphy_07_51LroAULHlkqY.webp,500,493,14,1400,422293,326942,5f71f2c3ae5ab38df0328c3bf30b7040f47b96b4bc9dee2a12f65e41612335b2,https://media.giphy.com/media/51LroAULHlkqY/giphy.gif
8,T8Dhl1KPyzRqU,giphy_08_T8Dhl1KPyzRqU.webp,250,172,139,6950,1904613,1189068,000e51285f1196a2ae1725c65344434a65f652b1bbc272d8870332889555d9a1,https://media.giphy.com/media/T8Dhl1KPyzRqU/giphy.gif
9,BcQDiC3iLcbjG,giphy_09_BcQDiC3iLcbjG.webp,212,256,65,2600,235479,79664,e3427bb3db42e8ea50b61bb2b89d5d269e1ceff533c3137464ad7cb20e12dabb,https://media.giphy.com/media/BcQDiC3iLcbjG/giphy.gif
10,6LygV2CaXxxaDDCopf,giphy_10_6LygV2CaXxxaDDCopf.webp,274,480,151,10070,7805238,3203722,b9532c828bc34510e69579573ba140f895606b16e6ab250ae19c3b1e704e83c0,https://media.giphy.com/media/6LygV2CaXxxaDDCopf/giphy.gif
11,4EFt4UAegpqTy3nVce,giphy_11_4EFt4UAegpqTy3nVce.webp,500,500,48,1920,618173,114172,47d27c76e1f5e21af4dd1eb4f5cc9d83bade60674f9be55a20f478133382c6c6,https://media.giphy.com/media/4EFt4UAegpqTy3nVce/giphy.gif
12,OhkMiKX0uMmLC,giphy_12_OhkMiKX0uMmLC.webp,212,256,20,800,95353,43584,74b10886cb03ef0111ca45822bdbf44f3da3f2a06795b0792876005e97d0e19e,https://media.giphy.com/media/OhkMiKX0uMmLC/giphy.gif
13,nv99yd56AMNDa,giphy_13_nv99yd56AMNDa.webp,393,300,12,1200,431362,215378,5022fd6be713ad1fcf8dbfc0023a44d6ae5033afb09834e29c2da30b721abe47,https://media.giphy.com/media/nv99yd56AMNDa/giphy.gif
14,8TkagzJHXLWmI,giphy_14_8TkagzJHXLWmI.webp,320,170,19,16150,120277,108768,ccd62a01bc76b5a7c2ea9869ddd86cfc0fff7e2cf73d7cdb06c5f95ccdb1f53f,https://media.giphy.com/media/8TkagzJHXLWmI/giphy.gif
15,3oEjI6SIIHBdRxXI40,giphy_15_3oEjI6SIIHBdRxXI40.webp,256,256,12,840,7935,7866,6ee412527d64018c789b7918980561f0fa659a99aa01a62a0b7d281620927d4f,https://media.giphy.com/media/3oEjI6SIIHBdRxXI40/giphy.gif
16,FDBoszbe5ZVmY8nj8E,giphy_16_FDBoszbe5ZVmY8nj8E.webp,480,270,21,1390,1115587,520832,4a0cee68d270aa5c1e2cf0376e440458e18acff1408453ece2e1999de7d0fa3c,https://media.giphy.com/media/FDBoszbe5ZVmY8nj8E/giphy.gif
17,l0HlTF1SDqER7VBCM,giphy_17_l0HlTF1SDqER7VBCM.webp,500,500,12,480,732704,1164338,fa7c77a34453d23924801dc2e902c63a14d98e6366a83dd51b5f80e4eefb8a0d,https://media.giphy.com/media/l0HlTF1SDqER7VBCM/giphy.gif
18,AWNxDbtHGIJDW,giphy_18_AWNxDbtHGIJDW.webp,212,256,48,1920,201059,142688,a2e8b8489264e4b6d53959b5a0783b20518defe87341c1fc1adbe80f28dbe580,https://media.giphy.com/media/AWNxDbtHGIJDW/giphy.gif
19,brEis8EBTBO4flSV8i,giphy_19_brEis8EBTBO4flSV8i.webp,270,480,105,6990,4492432,1662838,9c2ed08102a0e5943e239302f354be2e3ea2edc6537b9bc38d8275d8ae1ce70d,https://media.giphy.com/media/brEis8EBTBO4flSV8i/giphy.gif
20,PaSSGJlzQCwTlvG29p,giphy_20_PaSSGJlzQCwTlvG29p.webp,358,480,21,1390,1789480,768138,620c2ab63f4ff329c9e36f77ca3dabf1295f3eac477ba9dd7fac84378d4f77a5,https://media.giphy.com/media/PaSSGJlzQCwTlvG29p/giphy.gif
